Team,Conference,Gtm,Date,Location,Opp,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
clemson,ACC,31,3/8/25,,Virginia Tech,REG (Conf),W,65,47,,27,61,0.443,3,20,0.15,24,41,0.585,0.467,8,13,0.615,14,20,34,11,15,3,9,6,19,46,0.413,8,25,0.32,11,21,0.524,0.5,1,4,0.25,7,20,27,9,7,2,20,14
clemson,ACC,Gtm,Date,,Opp,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
clemson,ACC,32,3/13/25,N,SMU,CTOURN,W,57,54,,18,47,0.383,4,21,0.19,14,26,0.538,0.426,17,23,0.739,7,19,26,8,6,4,15,15,22,55,0.4,1,14,0.071,21,41,0.512,0.409,9,13,0.692,7,23,30,9,9,3,11,17
clemson,ACC,33,3/14/25,N,Louisville,CTOURN,L,73,76,,27,69,0.391,5,16,0.313,22,53,0.415,0.428,14,17,0.824,12,21,33,8,10,2,9,22,24,55,0.436,6,22,0.273,18,33,0.545,0.491,22,27,0.815,9,25,34,12,7,5,13,19
clemson,ACC,Gtm,Date,,Opp,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
clemson,ACC,34,3/20/25,N,McNeese State,ROUND-64,L,67,69,,21,57,0.368,9,30,0.3,12,27,0.444,0.447,16,19,0.842,12,22,34,9,5,0,13,16,27,62,0.435,4,19,0.211,23,43,0.535,0.468,11,22,0.5,16,22,38,12,7,6,10,19
clemson,ACC,,,,,,27-7,2586,2236,,930,2012,0.462,288,781,0.369,642,1231,0.522,0.534,438,570,0.768,331,771,1102,484,252,119,343,518,819,1915,0.428,232,728,0.319,587,1187,0.495,0.488,366,533,0.687,309,703,1012,358,210,103,417,553
wake-forest,ACC,1,11/4/24,,Coppin State,REG (Non-Conf),W,64,49,,22,56,0.393,9,37,0.243,13,19,0.684,0.473,11,23,0.478,9,26,35,14,11,6,12,18,17,60,0.283,4,18,0.222,13,42,0.31,0.317,11,15,0.733,12,27,39,9,5,0,19,21
wake-forest,ACC,2,11/7/24,,North Carolina A&T,REG (Non-Conf),W,80,64,,27,62,0.435,6,25,0.24,21,37,0.568,0.484,20,22,0.909,10,34,44,15,7,4,17,15,22,67,0.328,11,35,0.314,11,32,0.344,0.41,9,12,0.75,4,21,25,11,10,0,13,22
wake-forest,ACC,3,11/10/24,N,Michigan,REG (Non-Conf),W,72,70,,26,56,0.464,6,20,0.3,20,36,0.556,0.518,14,19,0.737,10,21,31,11,9,3,13,17,24,57,0.421,10,33,0.303,14,24,0.583,0.509,12,15,0.8,9,21,30,15,5,2,15,20
wake-forest,ACC,4,11/13/24,,USC Upstate,REG (Non-Conf),W,85,80,,28,55,0.509,7,26,0.269,21,29,0.724,0.573,22,33,0.667,11,19,30,14,10,1,11,14,30,63,0.476,11,29,0.379,19,34,0.559,0.563,9,10,0.9,10,21,31,14,8,0,15,24
wake-forest,ACC,5,11/16/24,@,Xavier,REG (Non-Conf),L,60,75,,22,47,0.468,5,15,0.333,17,32,0.531,0.521,11,15,0.733,6,21,27,11,5,7,18,18,23,57,0.404,10,26,0.385,13,31,0.419,0.491,19,22,0.864,8,17,25,17,12,3,10,14
wake-forest,ACC,6,11/19/24,,Western Carolina,REG (Non-Conf),W,82,69,,27,63,0.429,12,31,0.387,15,32,0.469,0.524,16,19,0.842,7,12,19,17,6,4,8,14,24,56,0.429,11,32,0.344,13,24,0.542,0.527,10,11,0.909,8,23,31,14,4,2,21,17
wake-forest,ACC,7,11/23/24,,Detroit Mercy,REG (Non-Conf),W,67,57,,24,61,0.393,10,35,0.286,14,26,0.538,0.475,9,13,0.692,5,24,29,16,6,10,5,18,20,60,0.333,5,19,0.263,15,41,0.366,0.375,12,16,0.75,9,32,41,11,4,3,14,14
wake-forest,ACC,8,11/28/24,N,Florida,REG (Non-Conf),L,58,75,,21,56,0.375,3,20,0.15,18,36,0.5,0.402,13,15,0.867,8,21,29,9,7,4,11,17,23,58,0.397,8,27,0.296,15,31,0.484,0.466,21,27,0.778,11,28,39,8,10,1,11,17
wake-forest,ACC,9,11/29/24,N,Minnesota,REG (Non-Conf),W,57,51,,21,53,0.396,1,15,0.067,20,38,0.526,0.406,14,16,0.875,11,27,38,9,8,3,13,15,21,51,0.412,3,18,0.167,18,33,0.545,0.441,6,15,0.4,8,17,25,8,8,2,11,16
