Team,Conference,Gtm,Date,Location,Opp,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
duke,ACC,25,2019-02-16,,NC State,REG (Conf),W,94,78,,35,66,0.530,3,16,0.188,32,50,0.640,0.553,21,28,0.750,14,29,43,21,9,7,12,16,33,66,0.500,6,19,0.316,27,47,0.574,0.545,6,11,0.545,4,19,23,16,8,3,12,19
duke,ACC,26,2019-02-20,,North Carolina,REG (Conf),L,72,88,,25,72,0.347,8,39,0.205,17,33,0.515,0.403,14,19,0.737,11,26,37,9,11,8,20,17,38,75,0.507,2,20,0.100,36,55,0.655,0.520,10,14,0.714,9,36,45,21,10,2,14,15
duke,ACC,27,2019-02-23,@,Syracuse,REG (Conf),W,75,65,,26,59,0.441,9,29,0.310,17,30,0.567,0.517,14,16,0.875,11,27,38,16,2,6,13,16,24,70,0.343,5,23,0.217,19,47,0.404,0.379,12,19,0.632,17,20,37,12,9,5,5,16
duke,ACC,28,2019-02-26,@,Virginia Tech,REG (Conf),L,72,77,,25,50,0.500,7,21,0.333,18,29,0.621,0.570,15,19,0.789,7,22,29,11,1,4,12,20,23,50,0.460,8,26,0.308,15,24,0.625,0.540,23,29,0.793,6,20,26,12,6,1,5,15
duke,ACC,29,2019-03-02,,Miami (FL),REG (Conf),W,87,57,,36,63,0.571,6,17,0.353,30,46,0.652,0.619,9,14,0.643,9,32,41,18,10,4,16,14,22,63,0.349,6,24,0.250,16,39,0.410,0.397,7,12,0.583,11,17,28,11,11,3,16,16
duke,ACC,30,2019-03-05,,Wake Forest,REG (Conf),W,71,70,,24,58,0.414,7,22,0.318,17,36,0.472,0.474,16,26,0.615,9,29,38,10,3,7,15,14,28,71,0.394,7,23,0.304,21,48,0.438,0.444,7,12,0.583,9,27,36,8,3,1,9,22
duke,ACC,31,2019-03-09,@,North Carolina,REG (Conf),L,70,79,,25,73,0.342,8,32,0.250,17,41,0.415,0.397,12,17,0.706,15,28,43,15,5,7,12,12,30,74,0.405,12,31,0.387,18,43,0.419,0.486,7,13,0.538,12,31,43,16,5,8,10,14
duke,ACC,Gtm,Date,,Opp,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
duke,ACC,32,2019-03-14,N,Syracuse,CTOURN,W,84,72,,29,54,0.537,7,23,0.304,22,31,0.710,0.602,19,28,0.679,10,25,35,16,14,4,18,17,25,52,0.481,9,21,0.429,16,31,0.516,0.567,13,22,0.591,9,18,27,7,8,3,17,22
duke,ACC,33,2019-03-15,N,North Carolina,CTOURN,W,74,73,,31,65,0.477,5,20,0.250,26,45,0.578,0.515,7,13,0.538,9,25,34,15,6,6,12,16,29,73,0.397,4,26,0.154,25,47,0.532,0.425,11,15,0.733,15,23,38,13,5,0,8,15
duke,ACC,34,2019-03-16,N,Florida State,CTOURN,W,73,63,,27,55,0.491,2,14,0.143,25,41,0.610,0.509,17,21,0.810,6,26,32,11,8,6,12,17,20,63,0.317,8,20,0.400,12,43,0.279,0.381,15,16,0.938,12,18,30,8,5,5,12,16
duke,ACC,Gtm,Date,,Opp,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
duke,ACC,35,2019-03-22,N,North Dakota State,ROUND-64,W,85,62,,33,65,0.508,8,19,0.421,25,46,0.543,0.569,11,17,0.647,8,29,37,14,6,7,6,14,21,58,0.362,8,29,0.276,13,29,0.448,0.431,12,14,0.857,3,26,29,7,1,2,11,17
duke,ACC,36,2019-03-24,N,UCF,ROUND-32,W,77,76,,30,67,0.448,10,25,0.400,20,42,0.476,0.522,7,12,0.583,13,22,35,15,8,3,8,18,26,54,0.481,9,18,0.500,17,36,0.472,0.565,15,20,0.750,7,22,29,16,5,5,11,16
duke,ACC,37,2019-03-29,N,Virginia Tech,ROUND-16,W,75,73,,31,56,0.554,6,20,0.300,25,36,0.694,0.607,7,10,0.700,7,22,29,22,6,6,11,15,25,62,0.403,9,26,0.346,16,36,0.444,0.476,14,18,0.778,13,17,30,19,4,3,11,15
duke,ACC,38,2019-03-31,N,Michigan State,ROUND-8,L,67,68,,26,57,0.456,7,21,0.333,19,36,0.528,0.518,8,13,0.615,12,29,41,14,4,9,17,9,30,70,0.429,6,19,0.316,24,51,0.471,0.471,2,6,0.333,11,19,30,18,11,3,6,11
duke,ACC,,,,,,32-6,3143,2576,,1157,2418,0.478,278,903,0.308,879,1515,0.580,0.536,551,803,0.686,450,1023,1473,606,346,257,481,595,960,2415,0.398,253,844,0.300,707,1571,0.450,0.450,403,579,0.696,377,840,1217,479,243,121,521,659
